,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
31,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Banana,0.198,0.976
32,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Black pepper,0.02216,0.00068
33,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Chillies,0.003,0.009
34,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Ginger,0.006,0.021
35,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Sugarcane,0.0002,0.0005
36,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Sweet potato,0.018,0.086
39,Andaman and Nicobar Islands,NICOBARS,2010,Autumn     ,Rice,0.0035,0.01
40,Andaman and Nicobar Islands,NICOBARS,2010,Autumn     ,Sugarcane,0.0134,0.04175
41,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Black pepper,0.023,0.0085
42,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Chillies,0.012,0.025
43,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Ginger,0.007,0.009640000000000001
44,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Maize,0.0038399999999999997,0.01822
46,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Sweet potato,0.022,0.208
48,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Urad,0.0015,0.00116
49,Andaman and Nicobar Islands,NICOBARS,2010,Whole Year ,Banana,0.593,3.425
61,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Kharif     ,Rice,6.8543,18.99562
62,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Banana,0.95757,8.582
63,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Black pepper,0.175,0.19113999999999998
64,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Chillies,0.23571999999999999,0.8242999999999999
65,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Ginger,0.09866,0.929
66,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Sugarcane,0.0713,1.5
67,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Sweet potato,0.03,0.24
70,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Autumn     ,Rice,6.791,20.118
71,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Autumn     ,Sugarcane,0.07332999999999999,0.8892
72,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Black pepper,0.168,0.0135
73,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Chillies,0.254,0.402
74,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Ginger,0.11,1.01184
75,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Groundnut,0.00475,0.0068
76,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Maize,0.0867,0.0964
78,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Sunflower,0.0029,0.0019
79,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Sweet potato,0.109,0.48
81,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Urad,1.0595,0.45879000000000003
82,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Whole Year ,Banana,0.657,7.968
111,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Kharif     ,Rice,0.92187,2.53964
112,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Banana,0.483,4.15
113,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Black pepper,0.4131,0.02018
114,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Chillies,0.12459999999999999,0.0347
115,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Ginger,0.1009,0.9
116,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Sugarcane,0.0535,0.9995
117,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Sweet potato,0.0304,0.22
120,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Autumn     ,Rice,1.5955,3.788
121,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Autumn     ,Sugarcane,0.0675,0.402
122,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Black pepper,0.409,0.098
123,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Chillies,0.128,0.148
124,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Ginger,0.094,0.82852
125,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Groundnut,0.0155,0.0076
126,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Maize,0.073,0.253
128,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Sunflower,0.001,0.0005
129,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Sweet potato,0.032,0.235
131,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Urad,0.034,0.015050000000000001
132,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Whole Year ,Banana,0.36,5.517
429,Andhra Pradesh,ANANTAPUR,2006,Kharif     ,Bajra,0.62,0.189
430,Andhra Pradesh,ANANTAPUR,2006,Kharif     ,Castor seed,0.899,0.451
431,Andhra Pradesh,ANANTAPUR,2006,Kharif     ,Cotton,1.506,1.94
432,Andhra Pradesh,ANANTAPUR,2006,Kharif     ,Chillies,1.754,5.658
433,Andhra Pradesh,ANANTAPUR,2006,Kharif     ,Groundnut,644.007,43.148
435,Andhra Pradesh,ANANTAPUR,2006,Kharif     ,Jowar,18.043,7.813
436,Andhra Pradesh,ANANTAPUR,2006,Kharif     ,Maize,4.877,20.181
438,Andhra Pradesh,ANANTAPUR,2006,Kharif     ,Onion,0.869,9.423
439,Andhra Pradesh,ANANTAPUR,2006,Kharif     ,Ragi,2.035,3.696
440,Andhra Pradesh,ANANTAPUR,2006,Kharif     ,Rice,22.349,67.427
441,Andhra Pradesh,ANANTAPUR,2006,Kharif     ,Urad,0.069,0.026
442,Andhra Pradesh,ANANTAPUR,2006,Rabi       ,Bajra,0.141,0.043
443,Andhra Pradesh,ANANTAPUR,2006,Rabi       ,Chillies,0.01,0.037
