Crop_Year,State_Name,District_Name,Season,Crop,Area,Production
2000,Andaman and Nicobar Islands,NICOBARS,Kharif,Rice,0.102,0.321
2000,Andaman and Nicobar Islands,NICOBARS,Whole Year,Banana,0.176,0.641
2000,Andaman and Nicobar Islands,NICOBARS,Whole Year,Ginger,0.036,0.1
2000,Andaman and Nicobar Islands,NICOBARS,Whole Year,Sugarcane,0.001,0.002
2000,Andaman and Nicobar Islands,NICOBARS,Whole Year,Sweet potato,0.005,0.015
2000,Andaman and Nicobar Islands,NICOBARS,Whole Year,Tapioca,0.04,0.169
2001,Andaman and Nicobar Islands,NICOBARS,Kharif,Rice,0.083,0.3
2001,Andaman and Nicobar Islands,NICOBARS,Whole Year,Ginger,0.046,0.1
2001,Andaman and Nicobar Islands,NICOBARS,Whole Year,Sugarcane,0.001,0.001
2001,Andaman and Nicobar Islands,NICOBARS,Whole Year,Sweet potato,0.011,0.033
2002,Andaman and Nicobar Islands,NICOBARS,Kharif,Rice,0.18919999999999998,0.51084
2002,Andaman and Nicobar Islands,NICOBARS,Whole Year,Banana,0.213,1.278
2002,Andaman and Nicobar Islands,NICOBARS,Whole Year,Black pepper,0.063,0.0135
2002,Andaman and Nicobar Islands,NICOBARS,Whole Year,Chillies,0.413,0.0288
2002,Andaman and Nicobar Islands,NICOBARS,Whole Year,Ginger,0.047299999999999995,0.133
2002,Andaman and Nicobar Islands,NICOBARS,Whole Year,Sugarcane,0.005,0.04
2003,Andaman and Nicobar Islands,NICOBARS,Kharif,Rice,0.052,0.09017
2003,Andaman and Nicobar Islands,NICOBARS,Whole Year,Banana,0.266,1.763
2003,Andaman and Nicobar Islands,NICOBARS,Whole Year,Black pepper,0.0755,0.01586
2003,Andaman and Nicobar Islands,NICOBARS,Whole Year,Chillies,0.06,0.102
2003,Andaman and Nicobar Islands,NICOBARS,Whole Year,Ginger,0.102,0.32639999999999997
2004,Andaman and Nicobar Islands,NICOBARS,Kharif,Rice,0.05294,0.07257
2004,Andaman and Nicobar Islands,NICOBARS,Whole Year,Banana,0.06642,0.40412
2004,Andaman and Nicobar Islands,NICOBARS,Whole Year,Black pepper,0.085,0.01586
2004,Andaman and Nicobar Islands,NICOBARS,Whole Year,Chillies,0.06,0.1452
2004,Andaman and Nicobar Islands,NICOBARS,Whole Year,Ginger,0.118,0.366
2005,Andaman and Nicobar Islands,NICOBARS,Kharif,Rice,0.00209,0.012060000000000001
2005,Andaman and Nicobar Islands,NICOBARS,Whole Year,Banana,0.022,0.582
2005,Andaman and Nicobar Islands,NICOBARS,Whole Year,Black pepper,0.041,0.0001
2005,Andaman and Nicobar Islands,NICOBARS,Whole Year,Chillies,0.017,
2005,Andaman and Nicobar Islands,NICOBARS,Whole Year,Turmeric,0.01,0.07
2006,Andaman and Nicobar Islands,NICOBARS,Whole Year,Banana,0.198,0.976
2006,Andaman and Nicobar Islands,NICOBARS,Whole Year,Black pepper,0.02216,0.00068
2006,Andaman and Nicobar Islands,NICOBARS,Whole Year,Chillies,0.003,0.009
2006,Andaman and Nicobar Islands,NICOBARS,Whole Year,Ginger,0.006,0.021
2006,Andaman and Nicobar Islands,NICOBARS,Whole Year,Sugarcane,0.0002,0.0005
2006,Andaman and Nicobar Islands,NICOBARS,Whole Year,Sweet potato,0.018,0.086
2006,Andaman and Nicobar Islands,NICOBARS,Whole Year,Tapioca,0.05203,0.45
2006,Andaman and Nicobar Islands,NICOBARS,Whole Year,Turmeric,0.0025,0.00103
2010,Andaman and Nicobar Islands,NICOBARS,Autumn,Rice,0.0035,0.01
2010,Andaman and Nicobar Islands,NICOBARS,Autumn,Sugarcane,0.0134,0.04175
2010,Andaman and Nicobar Islands,NICOBARS,Rabi,Black pepper,0.023,0.0085
2010,Andaman and Nicobar Islands,NICOBARS,Rabi,Chillies,0.012,0.025
2010,Andaman and Nicobar Islands,NICOBARS,Rabi,Ginger,0.007,0.009640000000000001
2010,Andaman and Nicobar Islands,NICOBARS,Rabi,Maize,0.0038399999999999997,0.01822
2010,Andaman and Nicobar Islands,NICOBARS,Rabi,Moong(Green Gram),0.0015,0.0011
2010,Andaman and Nicobar Islands,NICOBARS,Rabi,Sweet potato,0.022,0.208
2010,Andaman and Nicobar Islands,NICOBARS,Rabi,Turmeric,0.002,0.0005
2010,Andaman and Nicobar Islands,NICOBARS,Rabi,Urad,0.0015,0.00116
2010,Andaman and Nicobar Islands,NICOBARS,Whole Year,Banana,0.593,3.425
2010,Andaman and Nicobar Islands,NICOBARS,Whole Year,Tapioca,0.069,0.575
2000,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Kharif,Rice,10.779,31.863
2000,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year,Banana,1.531,12.073
2000,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year,Ginger,0.352,1.12
