,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
2,Andaman and Nicobar Islands,NICOBARS,2000,Kharif     ,Rice,102.0,321.0
3,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Banana,176.0,641.0
6,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Ginger,36.0,100.0
7,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Sugarcane,1.0,2.0
8,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Sweet potato,5.0,15.0
9,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Tapioca,40.0,169.0
12,Andaman and Nicobar Islands,NICOBARS,2001,Kharif     ,Rice,83.0,300.0
15,Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Ginger,46.0,100.0
16,Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Sugarcane,1.0,1.0
17,Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Sweet potato,11.0,33.0
18,Andaman and Nicobar Islands,NICOBARS,2002,Kharif     ,Rice,189.2,510.84
20,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Banana,213.0,1278.0
21,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Black pepper,63.0,13.5
24,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Chillies,413.0,28.8
25,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Ginger,47.3,133.0
26,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Sugarcane,5.0,40.0
27,Andaman and Nicobar Islands,NICOBARS,2003,Kharif     ,Rice,52.0,90.17
29,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Banana,266.0,1763.0
30,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Black pepper,75.5,15.86
33,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Chillies,60.0,102.0
34,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Ginger,102.0,326.4
36,Andaman and Nicobar Islands,NICOBARS,2004,Kharif     ,Rice,52.94,72.57
38,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Banana,66.42,404.12
39,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Black pepper,85.0,15.86
42,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Chillies,60.0,145.2
43,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Ginger,118.0,366.0
45,Andaman and Nicobar Islands,NICOBARS,2005,Kharif     ,Rice,2.09,12.06
47,Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Banana,22.0,582.0
48,Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Black pepper,41.0,0.1
51,Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Chillies,17.0,
52,Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Turmeric,10.0,70.0
54,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Banana,198.0,976.0
55,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Black pepper,22.16,0.68
58,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Chillies,3.0,9.0
59,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Ginger,6.0,21.0
60,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Sugarcane,0.2,0.5
61,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Sweet potato,18.0,86.0
62,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Tapioca,52.03,450.0
63,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Turmeric,2.5,1.03
64,Andaman and Nicobar Islands,NICOBARS,2010,Autumn     ,Rice,3.5,10.0
65,Andaman and Nicobar Islands,NICOBARS,2010,Autumn     ,Sugarcane,13.4,41.75
67,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Black pepper,23.0,8.5
69,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Chillies,12.0,25.0
70,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Ginger,7.0,9.64
71,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Maize,3.84,18.22
72,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Moong(Green Gram),1.5,1.1
73,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Sweet potato,22.0,208.0
74,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Turmeric,2.0,0.5
75,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Urad,1.5,1.16
76,Andaman and Nicobar Islands,NICOBARS,2010,Whole Year ,Banana,593.0,3425.0
78,Andaman and Nicobar Islands,NICOBARS,2010,Whole Year ,Tapioca,69.0,575.0
81,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif     ,Rice,10779.0,31863.0
82,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Banana,1531.0,12073.0
85,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Ginger,352.0,1120.0
87,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Sugarcane,141.0,3736.0
88,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Sweet potato,78.0,843.0
89,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Tapioca,160.0,2108.0
