 Rainfall, Temperature, Ph,Crop
400.15082,20.0,3.0,Bajra
400.16331,20.0,3.2,Bajra
400.16387,20.0,3.2,Bajra
400.17967,20.0,3.2,Bajra
400.19582,20.0,3.2,Bajra
400.29047,20.0,3.2,Bajra
400.38869,20.0,3.2,Bajra
400.39889,20.0,3.2,Bajra
400.41592,20.0,3.2,Bajra
400.45608,20.0,3.2,Bajra
400.46035,20.0,3.2,Bajra
400.46718,20.0,3.2,Bajra
400.52774,20.0,3.2,Bajra
400.54199,20.0,3.2,Bajra
400.56441,20.0,3.2,Bajra
400.56864,20.0,3.2,Bajra
400.65723,20.0,3.2,Bajra
400.69429,20.0,3.2,Bajra
400.76984,20.0,3.2,Bajra
400.78107,20.0,3.2,Bajra
401.02743,20.0,3.2,Bajra
401.31825,20.0,3.2,Bajra
401.47754,20.0,3.2,Bajra
401.50001,20.0,3.2,Bajra
401.50387,20.0,3.2,Bajra
401.57464,20.0,3.2,Bajra
401.57825,20.0,3.2,Bajra
401.60024,20.0,3.2,Bajra
401.63612,20.0,3.2,Bajra
401.65422,20.0,3.2,Bajra
401.65656,20.0,3.2,Bajra
401.66306,20.0,3.2,Bajra
401.67025,20.0,3.2,Bajra
402.08286,20.0,3.2,Bajra
402.23458,20.0,3.2,Bajra
402.39983,20.0,3.2,Bajra
402.42845,20.0,3.2,Bajra
402.46423,20.0,3.2,Bajra
402.54647,20.0,3.2,Bajra
402.57579,20.0,3.2,Bajra
402.58231,20.0,3.2,Bajra
402.592,20.0,3.2,Bajra
402.68864,20.0,3.2,Bajra
402.7059,20.0,3.2,Bajra
402.76603,20.0,3.2,Bajra
402.80843,20.0,3.2,Bajra
402.83704,20.0,3.2,Bajra
402.93823,20.0,3.2,Bajra
403.20294,20.0,3.2,Bajra
403.22616,20.0,3.2,Bajra
403.30242,20.0,3.2,Bajra
403.31671,20.0,3.2,Bajra
403.31928,20.0,3.2,Bajra
403.45605,20.0,3.2,Bajra
403.4608,20.0,3.2,Bajra
403.4992,20.0,3.2,Bajra
403.54886,20.0,3.2,Bajra
403.55162,20.0,3.2,Bajra
403.56515,20.0,3.2,Bajra
403.62582,20.0,3.2,Bajra
403.67726,20.0,3.2,Bajra
403.79017,20.0,3.2,Bajra
403.79675,20.0,3.2,Bajra
403.85941,20.0,3.2,Bajra
403.86577,20.0,3.2,Bajra
403.8826,20.0,3.2,Bajra
403.91087,20.0,3.2,Bajra
403.91999,20.0,3.2,Bajra
404.02528,20.0,3.2,Bajra
404.02895,20.0,3.2,Bajra
404.12949,20.0,3.2,Bajra
404.13645,20.0,3.2,Bajra
404.18607,20.0,3.2,Bajra
404.23314,20.0,3.2,Bajra
404.26732,20.0,3.2,Bajra
404.30638,20.0,3.2,Bajra
404.30714,20.0,3.2,Bajra
404.34234,20.0,3.2,Bajra
404.374,20.0,3.2,Bajra
404.374,20.0,3.2,Bajra
404.374,20.0,3.2,Bajra
404.374,20.0,3.2,Bajra
404.42092,20.0,3.2,Bajra
404.49244,20.0,3.2,Bajra
404.5003,20.0,3.2,Bajra
404.60937,20.0,3.2,Bajra
404.65236,20.0,3.2,Bajra
404.71706,20.0,3.2,Bajra
404.75005,20.0,3.2,Bajra
403.92727,20.0,3.2,Bajra
403.97382,20.0,3.2,Bajra
404.01269,20.0,3.2,Bajra
404.01634,20.0,3.2,Bajra
404.01786,20.0,3.2,Bajra
404.01939,20.0,3.2,Bajra
404.0203,20.0,3.2,Bajra
404.02215,20.0,3.2,Bajra
404.02632,20.0,3.2,Bajra
404.05,20.0,3.2,Bajra
404.05522,20.0,3.2,Bajra
404.05634,20.0,3.2,Bajra
404.15754,20.0,3.1,Bajra
404.19051,20.0,3.1,Bajra
404.24454,20.0,3.1,Bajra
404.32333,20.0,3.1,Bajra
404.32748,22.0,3.1,Bajra
404.33175,22.0,3.1,Bajra
404.35295,22.0,3.1,Bajra
404.38023,22.0,3.1,Bajra
404.45714,22.0,3.1,Bajra
404.45915,22.0,3.1,Bajra
404.47458,22.0,3.1,Bajra
404.47977,22.0,3.1,Bajra
404.5,22.0,3.1,Bajra
404.5,22.0,3.1,Bajra
404.53101,22.0,3.1,Bajra
404.53913,22.0,3.1,Bajra
404.57654,22.0,3.1,Bajra
404.58182,22.0,3.1,Bajra
